GEOID,TRACT,BLOCK,WARD
250173515001018,351500,1018,2
250173515002032,351500,2032,2
250173515001034,351500,1034,2
250173512041016,351204,1016,2
250173512031001,351203,1001,2
250173512033002,351203,3002,2
250173512033000,351203,3000,2
250173512032002,351203,2002,2
250173515002007,351500,2007,2
250173515002006,351500,2006,2
250173515001017,351500,1017,2
250173515001030,351500,1030,2
250173515002028,351500,2028,2
250173512042002,351204,2002,2
250173512031002,351203,1002,2
250173512043009,351204,3009,2
250173512041002,351204,1002,2
250173512042012,351204,2012,2
250173512031005,351203,1005,2
250173512034007,351203,4007,2
250173512042006,351204,2006,2
250173510003002,351000,3002,2
250173512043004,351204,3004,2
250173512042015,351204,2015,2
250173515002000,351500,2000,2
250173512043010,351204,3010,2
250173515001025,351500,1025,2
250173510003010,351000,3010,2
250173512043000,351204,3000,2
250173512043001,351204,3001,2
250173512043011,351204,3011,2
250173512034005,351203,4005,2
250173512034003,351203,4003,2
250173512032008,351203,2008,2
250173515002016,351500,2016,2
250173515001024,351500,1024,2
250173510003005,351000,3005,2
250173512034006,351203,4006,2
250173515002024,351500,2024,2
250173512032003,351203,2003,2
250173512032006,351203,2006,2
250173515002009,351500,2009,2
250173515002019,351500,2019,2
250173515002005,351500,2005,2
250173515001020,351500,1020,2
250173515001014,351500,1014,2
250173515001029,351500,1029,2
250173512043008,351204,3008,2
250173512031004,351203,1004,2
250173512032000,351203,2000,2
250173515001016,351500,1016,2
250173515001032,351500,1032,2
250173510003001,351000,3001,2
250173511003002,351100,3002,2
250173515001031,351500,1031,2
250173515001019,351500,1019,2
250173512041014,351204,1014,2
250173515002017,351500,2017,2
250173512033009,351203,3009,2
250173515002022,351500,2022,2
250173510003004,351000,3004,2
250173510003003,351000,3003,2
250173510003008,351000,3008,2
250173512041009,351204,1009,2
250173512041015,351204,1015,2
250173512043003,351204,3003,2
250173512043012,351204,3012,2
250173512034002,351203,4002,2
250173512041001,351204,1001,2
250173515001028,351500,1028,2
250173512042003,351204,2003,2
250173512042000,351204,2000,2
250173512043005,351204,3005,2
250173512042004,351204,2004,2
250173515002004,351500,2004,2
250173515002013,351500,2013,2
250173515002003,351500,2003,2
250173515002018,351500,2018,2
250173515001015,351500,1015,2
250173512042013,351204,2013,2
250173512043002,351204,3002,2
250173512031000,351203,1000,2
250173515001033,351500,1033,2
250173510003000,351000,3000,2
250173512041010,351204,1010,2
250173510003007,351000,3007,2
250173512041013,351204,1013,2
250173511003003,351100,3003,2
250173512041003,351204,1003,2
250173512041000,351204,1000,2
250173512043007,351204,3007,2
250173512034000,351203,4000,2
250173512032004,351203,2004,2
250173512033006,351203,3006,2
250173512032005,351203,2005,2
250173512032009,351203,2009,2
250173515002002,351500,2002,2
250173515002014,351500,2014,2
250173515002031,351500,2031,2
250173515002029,351500,2029,2
250173515002026,351500,2026,2
250173512033001,351203,3001,2
250173512031003,351203,1003,2
