"","GEOID10","Precinct"
"1",250173513001008,"3-1"
"2",250173513002009,"3-1"
"3",250173502005007,"1-3"
"4",250173509003017,"6-1"
"5",250173505001006,"6-2"
"6",250173504004006,"6-2"
"7",250173509001008,"6-1"
"8",250173502002005,"1-3"
"9",250173514042013,"1-3"
"10",250173502005009,"1-3"
"11",250173515001018,"2-1"
"12",250173513002000,"1-3"
"13",250173514042009,"1-3"
"14",250173501043033,"1-2"
"15",250173515002032,"2-1"
"16",250173515001034,"2-1"
"17",250173506003000,"7-3"
"18",250173508001001,"7-2"
"19",250173504001009,"5-2"
"20",250173512041016,"2-3"
"21",250173509002003,"6-1"
"22",250173513003002,"3-1"
"23",250173512031001,"2-2"
"24",250173512033002,"2-2"
"25",250173512033000,"2-2"
"26",250173512032002,"2-2"
"27",250173515002007,"2-1"
"28",250173515002006,"2-1"
"29",250173501043004,"1-2"
"30",250173501043012,"1-2"
"31",250173501042000,"4-1"
"32",250173501031002,"1-2"
"33",250173509003006,"6-1"
"34",250173501044015,"4-2"
"35",250173507001010,"7-3"
"36",250173514042008,"1-3"
"37",250173501043030,"1-2"
"38",250173501043007,"1-2"
"39",250173514032000,"1-2"
"40",250173514035001,"1-2"
"41",250173515001017,"2-1"
"42",250173515001030,"2-1"
"43",250173515002028,"2-1"
"44",250173504001007,"6-2"
"45",250173504002003,"6-2"
"46",250173504003003,"5-2"
"47",250173510001005,"5-3"
"48",250173504002004,"5-2"
"49",250173504003000,"5-2"
"50",250173503002002,"5-2"
"51",250173503003001,"5-2"
"52",250173503003013,"5-2"
"53",250173502001002,"5-1"
"54",250173501044003,"4-3"
"55",250173501041016,"4-2"
"56",250173501032009,"4-1"
"57",250173501041017,"4-2"
"58",250173511002003,"5-1"
"59",250173511005005,"3-3"
"60",250173510002003,"3-3"
"61",250173511005002,"3-3"
"62",250173511001000,"3-2"
"63",250173511003000,"3-2"
"64",250173512042002,"2-1"
"65",250173512031002,"2-2"
"66",250173502004003,"4-3"
"67",250173512042007,"3-1"
"68",250173504003004,"5-2"
"69",250173504003002,"5-2"
"70",250173503003003,"5-2"
"71",250173503002001,"5-2"
"72",250173502001001,"5-1"
"73",250173503001008,"5-1"
"74",250173501044008,"5-1"
"75",250173501042007,"4-3"
"76",250173501042006,"4-1"
"77",250173501042012,"4-3"
"78",250173501044005,"4-3"
"79",250173502006004,"4-3"
"80",250173501041013,"4-2"
"81",250173501032005,"4-1"
"82",250173501032003,"4-1"
"83",250173510004010,"5-3"
"84",250173510004002,"5-3"
"85",250173510001007,"3-3"
"86",250173510001008,"3-3"
"87",250173510001006,"3-3"
"88",250173512041006,"3-3"
"89",250173511005008,"3-2"
"90",250173511001008,"3-2"
"91",250173512043009,"2-3"
"92",250173512041002,"2-3"
"93",250173512042012,"2-2"
"94",250173512031005,"2-2"
"95",250173512034007,"2-2"
"96",250173512042006,"2-1"
"97",250173509003003,"6-1"
"98",250173515001005,"1-1"
"99",250173507002003,"7-2"
"100",250173510003002,"2-3"
"101",250173502004011,"5-1"
"102",250173505002004,"7-1"
"103",250173508002004,"6-1"
"104",250173511004003,"3-3"
"105",250173512043004,"2-3"
"106",250173512042015,"2-1"
"107",250173514034003,"1-3"
"108",250173507006006,"7-2"
"109",250173507001015,"7-3"
"110",250173507001016,"7-3"
"111",250173507002001,"7-3"
"112",250173507006003,"7-3"
"113",250173507003006,"7-3"
"114",250173507006007,"7-2"
"115",250173508001005,"7-1"
"116",250173515001035,"2-1"
"117",250173514034006,"1-3"
"118",250173514032004,"1-2"
"119",250173501043021,"1-2"
"120",250173514041003,"1-1"
"121",250173514041006,"1-1"
"122",250173501043017,"1-2"
"123",250173514031006,"1-2"
"124",250173514035000,"1-1"
"125",250173514031007,"1-2"
"126",250173504001008,"6-2"
"127",250173501031013,"1-2"
"128",250173507001009,"7-3"
"129",250173501041019,"4-1"
"130",250173515002000,"2-1"
"131",250173501041005,"4-1"
"132",250173501043026,"1-2"
"133",250173508001007,"7-1"
"134",250173515001027,"1-1"
"135",250173512043010,"2-3"
"136",250173509002014,"6-1"
"137",250173503001001,"5-2"
"138",250173514032003,"1-2"
"139",250173501043019,"1-2"
"140",250173514043006,"1-1"
"141",250173501043029,"1-2"
"142",250173514035003,"1-2"
"143",250173515001025,"2-1"
"144",250173504005001,"6-2"
"145",250173504002002,"5-2"
"146",250173504003007,"5-2"
"147",250173510005001,"5-3"
"148",250173504003001,"5-2"
"149",250173503003002,"5-2"
"150",250173503003000,"5-2"
"151",250173503003008,"5-2"
"152",250173503001006,"5-1"
"153",250173501042001,"4-1"
"154",250173502001005,"5-1"
"155",250173501042010,"4-3"
