"GEOID20","Precinct"
250173515002000,"2-1"
250173511012008,"3-3"
250173510022002,"6-1"
250173501082003,"5-1"
250173507021011,"7-3"
250173511013005,"3-2"
250173504002007,"5-3"
250173515002008,"2-1"
250173509002004,"6-1"
250173501051013,"4-1"
250173501091009,"4-1"
250173509003015,"6-4"
250173512033005,"2-2"
250173502021004,"5-1"
250173512034004,"2-3"
250173502022009,"3-2"
250173515003012,"2-1"
250173512042007,"3-1"
250173511012003,"3-4"
250173513002004,"3-2"
250173502012005,"4-2"
250173511021000,"3-3"
250173501071011,"1-4"
250173512033002,"2-2"
250173503003012,"5-3"
250173512034000,"2-2"
250173514042005,"4-2"
250173515002015,"2-1"
250173503003001,"5-3"
250173504004003,"6-2"
250173511013004,"5-2"
250173501071017,"1-3"
250173510011000,"3-4"
250173510021000,"5-2"
250173501071022,"1-3"
250173510013009,"5-4"
250173514041004,"1-1"
250173504001004,"6-3"
250173515003004,"2-1"
250173511021001,"3-3"
250173504004004,"6-2"
250173501051002,"4-1"
250173510022004,"5-4"
250173502021006,"5-1"
250173515001010,"2-1"
250173515001008,"2-1"
250173507023005,"7-2"
250173508002001,"7-1"
250173514043002,"1-1"
250173514042004,"4-2"
250173501061005,"1-3"
250173502022006,"4-3"
250173503001000,"5-1"
250173503003008,"5-3"
250173501081009,"4-4"
250173512033007,"2-1"
250173515002006,"2-1"
250173502021008,"5-1"
250173512043001,"2-3"
250173501071000,"1-3"
250173515001009,"2-1"
250173509001008,"6-4"
250173509001007,"6-1"
250173514034003,"1-4"
250173501061006,"1-3"
250173501081013,"4-4"
250173514031004,"1-2"
250173504005004,"6-2"
250173506004004,"7-1"
250173502013005,"1-4"
250173501051009,"4-1"
250173515002005,"2-1"
250173514032000,"1-2"
250173510021002,"5-4"
250173501051019,"4-1"
250173515002001,"2-1"
250173504004009,"6-2"
250173503002002,"5-2"
250173515001007,"2-1"
250173510023005,"5-4"
250173502022008,"5-1"
250173512031002,"2-3"
250173501071014,"1-4"
250173515002007,"2-1"
250173506003000,"7-3"
250173503001002,"5-1"
250173503001004,"5-1"
250173511022004,"2-4"
250173501082009,"4-3"
250173510021003,"5-4"
250173510011006,"3-4"
250173511013008,"3-3"
250173512042012,"3-1"
250173512043002,"2-4"
250173514035001,"1-2"
250173514043004,"1-1"
250173512032003,"2-2"
250173513001000,"3-2"
250173512032000,"2-1"
250173510013010,"5-4"
250173513002003,"3-2"
250173504004012,"6-2"
250173514034001,"1-4"
250173514044007,"1-1"
250173510013013,"5-4"
250173515001006,"2-1"
250173504001008,"6-2"
250173501091020,"4-1"
250173509002006,"6-1"
250173502011006,"1-4"
250173515004009,"1-1"
250173504001009,"5-3"
250173506003003,"7-3"
250173512041011,"3-3"
250173504002000,"5-3"
250173510012007,"2-4"
250173511011002,"5-2"
250173502012001,"4-3"
250173502022011,"4-3"
250173515004004,"1-1"
250173512042001,"2-3"
250173510023002,"5-4"
250173504003004,"5-3"
250173505001000,"6-2"
250173504004002,"6-2"
250173505002005,"7-1"
250173509003009,"6-4"
250173512043005,"2-4"
250173507022003,"7-2"
250173504001003,"6-3"
250173506004007,"6-3"
250173509001001,"6-4"
250173504004008,"6-2"
250173514042007,"4-2"
250173509003006,"6-4"
250173513001004,"3-2"
250173512043007,"2-4"
250173510013000,"6-1"
250173513002001,"3-2"
250173503003002,"5-3"
250173502023001,"4-3"
250173501091011,"4-1"
250173512043003,"2-4"
250173509001005,"6-1"
250173504005006,"6-2"
250173504004013,"6-2"
250173501091024,"1-4"
250173510021001,"5-2"
250173501071018,"1-3"
250173509001002,"6-4"
250173514042010,"1-4"
250173514044003,"1-4"
250173501061017,"1-3"
250173504002006,"5-3"
250173515002004,"2-1"
250173509003002,"6-4"
250173509002008,"6-1"
250173505001002,"6-4"
250173505001001,"6-2"
250173501061016,"1-3"
250173505001007,"6-4"
250173512041002,"2-4"
250173512043009,"2-3"
250173515004008,"1-1"
250173501091016,"1-4"
250173506003002,"7-3"
250173506004001,"7-4"
250173507021005,"7-3"
250173512042008,"2-3"
250173510011005,"3-4"
250173511013000,"5-2"
250173514032003,"1-2"
250173510011001,"3-4"
250173510013012,"5-4"
250173510013005,"5-4"
250173514043000,"1-1"
250173501071005,"1-3"
250173506001004,"6-3"
250173505001008,"6-4"
250173511013001,"3-2"
250173501091019,"4-1"
250173510012003,"2-4"
250173513002006,"3-1"
250173513002002,"3-2"
250173510012010,"2-4"
250173507022000,"7-2"
250173510013001,"5-4"
250173511012006,"3-3"
250173502022003,"4-3"
250173512042006,"3-1"
250173501081010,"4-4"
250173505002002,"7-1"
250173511011005,"5-2"
250173502022005,"4-3"
250173509003020,"6-4"
250173509002001,"6-1"
250173509002003,"6-1"
250173504003005,"6-2"
250173501061011,"1-3"
250173514042000,"1-4"
250173509003011,"6-4"
250173501081006,"4-4"
250173515004010,"1-1"
250173511022000,"3-3"
250173513002005,"3-1"
250173512033003,"2-2"
250173513003001,"3-1"
250173506002003,"7-4"
250173507013002,"7-2"
250173509003004,"7-1"
250173509003018,"6-4"
250173512043006,"2-4"
250173512041000,"2-4"
250173507011007,"7-4"
250173502021005,"5-1"
250173515001003,"2-1"
250173507011004,"7-4"
250173510012001,"2-4"
250173510012009,"2-4"
250173515002011,"2-1"
250173514041000,"1-1"
250173504002004,"6-2"
250173506002007,"7-4"
250173510022006,"5-4"
250173510012006,"2-4"
250173506003004,"7-4"
250173502013007,"1-4"
250173514034004,"1-4"
250173501061007,"1-3"
250173508001006,"7-1"
250173501081012,"4-4"
250173511012001,"3-4"
250173507012003,"7-3"
250173515003013,"2-1"
250173503002004,"5-1"
250173501061013,"1-3"
250173515003010,"2-1"
250173505001003,"6-2"
250173502023004,"4-3"
250173501071010,"1-4"
250173510023001,"3-4"
250173513003005,"3-1"
250173509003012,"6-4"
250173511011001,"5-2"
250173503002003,"5-2"
250173503003013,"5-3"
250173515001001,"2-1"
250173506001003,"6-3"
250173501051017,"4-1"
250173512041008,"2-4"
250173512033001,"2-2"
250173508001002,"7-1"
250173503001006,"5-1"
250173514031003,"1-2"
250173510023000,"5-4"
250173507011000,"7-4"
250173507021003,"7-3"
250173515003000,"2-1"
250173501081001,"4-1"
250173512042003,"2-3"
250173504004011,"6-2"
250173504005005,"6-2"
250173501082012,"4-2"
250173502023002,"4-3"
250173513002009,"3-1"
250173514041005,"1-1"
250173501051005,"4-1"
250173501071009,"1-4"
