"GEOID10","WARD2010","TRACT2010","BLOCK2010","BLKGRP2010"
"250173513001008",3,351300,"1008","25017351300"
"250173513002009",3,351300,"2009","25017351300"
"250173502005007",1,350200,"5007","25017350200"
"250173509003017",6,350900,"3017","25017350900"
"250173505001006",6,350500,"1006","25017350500"
"250173504004006",6,350400,"4006","25017350400"
"250173509001008",6,350900,"1008","25017350900"
"250173502002005",1,350200,"2005","25017350200"
"250173514042013",1,351404,"2013","25017351404"
"250173502005009",1,350200,"5009","25017350200"
"250173515001018",2,351500,"1018","25017351500"
"250173513002000",1,351300,"2000","25017351300"
"250173514042009",1,351404,"2009","25017351404"
"250173501043033",1,350104,"3033","25017350104"
"250173515002032",2,351500,"2032","25017351500"
"250173515001034",2,351500,"1034","25017351500"
"250173506003000",7,350600,"3000","25017350600"
"250173508001001",7,350800,"1001","25017350800"
"250173504001009",5,350400,"1009","25017350400"
"250173512041016",2,351204,"1016","25017351204"
"250173509002003",6,350900,"2003","25017350900"
"250173513003002",3,351300,"3002","25017351300"
"250173512031001",2,351203,"1001","25017351203"
"250173512033002",2,351203,"3002","25017351203"
"250173512033000",2,351203,"3000","25017351203"
"250173512032002",2,351203,"2002","25017351203"
"250173515002007",2,351500,"2007","25017351500"
"250173515002006",2,351500,"2006","25017351500"
"250173501043004",1,350104,"3004","25017350104"
"250173501043012",1,350104,"3012","25017350104"
"250173501042000",4,350104,"2000","25017350104"
"250173501031002",1,350103,"1002","25017350103"
"250173509003006",6,350900,"3006","25017350900"
"250173501044015",4,350104,"4015","25017350104"
"250173507001010",7,350700,"1010","25017350700"
"250173514042008",1,351404,"2008","25017351404"
"250173501043030",1,350104,"3030","25017350104"
"250173501043007",1,350104,"3007","25017350104"
"250173514032000",1,351403,"2000","25017351403"
"250173514035001",1,351403,"5001","25017351403"
"250173515001017",2,351500,"1017","25017351500"
"250173515001030",2,351500,"1030","25017351500"
"250173515002028",2,351500,"2028","25017351500"
"250173504001007",6,350400,"1007","25017350400"
"250173504002003",6,350400,"2003","25017350400"
"250173504003003",5,350400,"3003","25017350400"
"250173510001005",5,351000,"1005","25017351000"
"250173504002004",5,350400,"2004","25017350400"
"250173504003000",5,350400,"3000","25017350400"
"250173503002002",5,350300,"2002","25017350300"
"250173503003001",5,350300,"3001","25017350300"
"250173503003013",5,350300,"3013","25017350300"
"250173502001002",5,350200,"1002","25017350200"
"250173501044003",4,350104,"4003","25017350104"
"250173501041016",4,350104,"1016","25017350104"
"250173501032009",4,350103,"2009","25017350103"
"250173501041017",4,350104,"1017","25017350104"
"250173511002003",5,351100,"2003","25017351100"
"250173511005005",3,351100,"5005","25017351100"
"250173510002003",3,351000,"2003","25017351000"
"250173511005002",3,351100,"5002","25017351100"
"250173511001000",3,351100,"1000","25017351100"
"250173511003000",3,351100,"3000","25017351100"
"250173512042002",2,351204,"2002","25017351204"
"250173512031002",2,351203,"1002","25017351203"
"250173502004003",4,350200,"4003","25017350200"
"250173512042007",3,351204,"2007","25017351204"
"250173504003004",5,350400,"3004","25017350400"
"250173504003002",5,350400,"3002","25017350400"
"250173503003003",5,350300,"3003","25017350300"
"250173503002001",5,350300,"2001","25017350300"
"250173502001001",5,350200,"1001","25017350200"
"250173503001008",5,350300,"1008","25017350300"
"250173501044008",5,350104,"4008","25017350104"
"250173501042007",4,350104,"2007","25017350104"
"250173501042006",4,350104,"2006","25017350104"
"250173501042012",4,350104,"2012","25017350104"
"250173501044005",4,350104,"4005","25017350104"
"250173502006004",4,350200,"6004","25017350200"
"250173501041013",4,350104,"1013","25017350104"
"250173501032005",4,350103,"2005","25017350103"
"250173501032003",4,350103,"2003","25017350103"
"250173510004010",5,351000,"4010","25017351000"
"250173510004002",5,351000,"4002","25017351000"
"250173510001007",3,351000,"1007","25017351000"
"250173510001008",3,351000,"1008","25017351000"
"250173510001006",3,351000,"1006","25017351000"
"250173512041006",3,351204,"1006","25017351204"
"250173511005008",3,351100,"5008","25017351100"
"250173511001008",3,351100,"1008","25017351100"
"250173512043009",2,351204,"3009","25017351204"
"250173512041002",2,351204,"1002","25017351204"
"250173512042012",2,351204,"2012","25017351204"
"250173512031005",2,351203,"1005","25017351203"
"250173512034007",2,351203,"4007","25017351203"
"250173512042006",2,351204,"2006","25017351204"
"250173509003003",6,350900,"3003","25017350900"
"250173515001005",1,351500,"1005","25017351500"
"250173507002003",7,350700,"2003","25017350700"
"250173510003002",2,351000,"3002","25017351000"
"250173502004011",5,350200,"4011","25017350200"
"250173505002004",7,350500,"2004","25017350500"
"250173508002004",6,350800,"2004","25017350800"
"250173511004003",3,351100,"4003","25017351100"
"250173512043004",2,351204,"3004","25017351204"
"250173512042015",2,351204,"2015","25017351204"
"250173514034003",1,351403,"4003","25017351403"
"250173507006006",7,350700,"6006","25017350700"
"250173507001015",7,350700,"1015","25017350700"
"250173507001016",7,350700,"1016","25017350700"
"250173507002001",7,350700,"2001","25017350700"
"250173507006003",7,350700,"6003","25017350700"
"250173507003006",7,350700,"3006","25017350700"
"250173507006007",7,350700,"6007","25017350700"
"250173508001005",7,350800,"1005","25017350800"
"250173515001035",2,351500,"1035","25017351500"
"250173514034006",1,351403,"4006","25017351403"
"250173514032004",1,351403,"2004","25017351403"
"250173501043021",1,350104,"3021","25017350104"
"250173514041003",1,351404,"1003","25017351404"
"250173514041006",1,351404,"1006","25017351404"
"250173501043017",1,350104,"3017","25017350104"
"250173514031006",1,351403,"1006","25017351403"
"250173514035000",1,351403,"5000","25017351403"
"250173514031007",1,351403,"1007","25017351403"
"250173504001008",6,350400,"1008","25017350400"
"250173501031013",1,350103,"1013","25017350103"
"250173507001009",7,350700,"1009","25017350700"
"250173501041019",4,350104,"1019","25017350104"
"250173515002000",2,351500,"2000","25017351500"
"250173501041005",4,350104,"1005","25017350104"
"250173501043026",1,350104,"3026","25017350104"
"250173508001007",7,350800,"1007","25017350800"
"250173515001027",1,351500,"1027","25017351500"
"250173512043010",2,351204,"3010","25017351204"
"250173509002014",6,350900,"2014","25017350900"
"250173503001001",5,350300,"1001","25017350300"
"250173514032003",1,351403,"2003","25017351403"
"250173501043019",1,350104,"3019","25017350104"
"250173514043006",1,351404,"3006","25017351404"
"250173501043029",1,350104,"3029","25017350104"
"250173514035003",1,351403,"5003","25017351403"
"250173515001025",2,351500,"1025","25017351500"
"250173504005001",6,350400,"5001","25017350400"
"250173504002002",5,350400,"2002","25017350400"
"250173504003007",5,350400,"3007","25017350400"
"250173510005001",5,351000,"5001","25017351000"
"250173504003001",5,350400,"3001","25017350400"
"250173503003002",5,350300,"3002","25017350300"
"250173503003000",5,350300,"3000","25017350300"
"250173503003008",5,350300,"3008","25017350300"
"250173503001006",5,350300,"1006","25017350300"
"250173501042001",4,350104,"2001","25017350104"
"250173502001005",5,350200,"1005","25017350200"
"250173501042010",4,350104,"2010","25017350104"
"250173502006000",4,350200,"6000","25017350200"
"250173501044001",4,350104,"4001","25017350104"
"250173502004005",4,350200,"4005","25017350200"
"250173501041011",4,350104,"1011","25017350104"
"250173501032016",4,350103,"2016","25017350103"
"250173501041004",4,350104,"1004","25017350104"
"250173501041006",4,350104,"1006","25017350104"
"250173501032010",4,350103,"2010","25017350103"
"250173501032007",4,350103,"2007","25017350103"
"250173501031017",1,350103,"1017","25017350103"
"250173509002008",6,350900,"2008","25017350900"
"250173510005006",5,351000,"5006","25017351000"
"250173510001003",5,351000,"1003","25017351000"
"250173510004000",5,351000,"4000","25017351000"
"250173510006003",5,351000,"6003","25017351000"
"250173511005003",3,351100,"5003","25017351100"
"250173511005004",3,351100,"5004","25017351100"
"250173510003010",2,351000,"3010","25017351000"
"250173511002005",5,351100,"2005","25017351100"
"250173511004000",3,351100,"4000","25017351100"
"250173511001006",3,351100,"1006","25017351100"
"250173511003001",3,351100,"3001","25017351100"
"250173513001004",3,351300,"1004","25017351300"
"250173512043000",2,351204,"3000","25017351204"
"250173512043001",2,351204,"3001","25017351204"
"250173512043011",2,351204,"3011","25017351204"
"250173512034005",2,351203,"4005","25017351203"
"250173512034003",2,351203,"4003","25017351203"
"250173502004012",4,350200,"4012","25017350200"
"250173513001007",3,351300,"1007","25017351300"
"250173513002010",3,351300,"2010","25017351300"
"250173504005004",6,350400,"5004","25017350400"
"250173504004011",6,350400,"4011","25017350400"
"250173504004008",6,350400,"4008","25017350400"
"250173509002007",6,350900,"2007","25017350900"
"250173509001000",6,350900,"1000","25017350900"
"250173514042004",1,351404,"2004","25017351404"
"250173513001005",3,351300,"1005","25017351300"
"250173513002006",3,351300,"2006","25017351300"
"250173513003000",3,351300,"3000","25017351300"
"250173512032008",2,351203,"2008","25017351203"
"250173515002016",2,351500,"2016","25017351500"
"250173501041007",4,350104,"1007","25017350104"
"250173502005005",1,350200,"5005","25017350200"
"250173501043027",1,350104,"3027","25017350104"
"250173507001011",7,350700,"1011","25017350700"
"250173515001000",1,351500,"1000","25017351500"
"250173501044009",5,350104,"4009","25017350104"
"250173502001000",5,350200,"1000","25017350200"
"250173501043011",1,350104,"3011","25017350104"
"250173514034004",1,351403,"4004","25017351403"
"250173501032022",4,350103,"2022","25017350103"
"250173515001024",2,351500,"1024","25017351500"
"250173501043025",1,350104,"3025","25017350104"
"250173515001001",1,351500,"1001","25017351500"
"250173510003005",2,351000,"3005","25017351000"
"250173512034006",2,351203,"4006","25017351203"
"250173515002024",2,351500,"2024","25017351500"
"250173502003001",4,350200,"3001","25017350200"
"250173514042006",1,351404,"2006","25017351404"
"250173503002000",5,350300,"2000","25017350300"
"250173506004001",7,350600,"4001","25017350600"
"250173505002000",6,350500,"2000","25017350500"
"250173505001008",6,350500,"1008","25017350500"
"250173504004007",6,350400,"4007","25017350400"
"250173509003012",6,350900,"3012","25017350900"
"250173506004006",6,350600,"4006","25017350600"
"250173504005002",6,350400,"5002","25017350400"
"250173504005006",6,350400,"5006","25017350400"
"250173509003013",6,350900,"3013","25017350900"
"250173504005007",6,350400,"5007","25017350400"
"250173504004013",6,350400,"4013","25017350400"
"250173514042005",1,351404,"2005","25017351404"
"250173502002007",1,350200,"2007","25017350200"
"250173513003004",3,351300,"3004","25017351300"
"250173513003001",3,351300,"3001","25017351300"
"250173514043003",1,351404,"3003","25017351404"
"250173512032003",2,351203,"2003","25017351203"
"250173512032006",2,351203,"2006","25017351203"
"250173515002009",2,351500,"2009","25017351500"
"250173515002019",2,351500,"2019","25017351500"
"250173515002005",2,351500,"2005","25017351500"
"250173515001020",2,351500,"1020","25017351500"
"250173501031003",1,350103,"1003","25017350103"
"250173501031016",1,350103,"1016","25017350103"
"250173510004008",5,351000,"4008","25017351000"
"250173515001021",1,351500,"1021","25017351500"
"250173506002006",7,350600,"2006","25017350600"
"250173508001004",7,350800,"1004","25017350800"
"250173509003016",6,350900,"3016","25017350900"
"250173515001014",2,351500,"1014","25017351500"
"250173515001029",2,351500,"1029","25017351500"
"250173510004006",5,351000,"4006","25017351000"
"250173512043008",2,351204,"3008","25017351204"
"250173512031004",2,351203,"1004","25017351203"
"250173514041007",1,351404,"1007","25017351404"
"250173501041008",4,350104,"1008","25017350104"
"250173501041009",4,350104,"1009","25017350104"
"250173501042014",4,350104,"2014","25017350104"
"250173501031010",1,350103,"1010","25017350103"
"250173507001012",7,350700,"1012","25017350700"
"250173507003003",7,350700,"3003","25017350700"
"250173507005000",7,350700,"5000","25017350700"
"250173507005002",7,350700,"5002","25017350700"
"250173508001006",7,350800,"1006","25017350800"
"250173514034000",1,351403,"4000","25017351403"
"250173505001007",6,350500,"1007","25017350500"
"250173509003024",6,350900,"3024","25017350900"
"250173504001006",6,350400,"1006","25017350400"
"250173505001004",6,350500,"1004","25017350500"
"250173509002001",6,350900,"2001","25017350900"
"250173504004010",6,350400,"4010","25017350400"
"250173502002008",1,350200,"2008","25017350200"
"250173513001006",3,351300,"1006","25017351300"
"250173508002000",7,350800,"2000","25017350800"
"250173508002002",7,350800,"2002","25017350800"
"250173512032000",2,351203,"2000","25017351203"
"250173514031004",1,351403,"1004","25017351403"
"250173514041002",1,351404,"1002","25017351404"
"250173514031005",1,351403,"1005","25017351403"
"250173514041000",1,351404,"1000","25017351404"
"250173515001016",2,351500,"1016","25017351500"
"250173515001032",2,351500,"1032","25017351500"
"250173509001007",6,350900,"1007","25017350900"
"250173504002005",5,350400,"2005","25017350400"
"250173503003007",5,350300,"3007","25017350300"
"250173503002003",5,350300,"2003","25017350300"
"250173503001003",5,350300,"1003","25017350300"
"250173501042003",4,350104,"2003","25017350104"
"250173501042008",4,350104,"2008","25017350104"
"250173502004001",5,350200,"4001","25017350200"
"250173501044013",4,350104,"4013","25017350104"
"250173501032012",4,350103,"2012","25017350103"
"250173501032017",4,350103,"2017","25017350103"
"250173501031015",1,350103,"1015","25017350103"
"250173509002012",6,350900,"2012","25017350900"
"250173510004004",6,351000,"4004","25017351000"
"250173510003001",2,351000,"3001","25017351000"
"250173510005005",5,351000,"5005","25017351000"
"250173511001007",3,351100,"1007","25017351100"
"250173510002000",3,351000,"2000","25017351000"
"250173511001009",3,351100,"1009","25017351100"
"250173511004005",3,351100,"4005","25017351100"
"250173511003002",2,351100,"3002","25017351100"
"250173501043013",1,350104,"3013","25017350104"
"250173501031018",1,350103,"1018","25017350103"
"250173512042016",3,351204,"2016","25017351204"
"250173515001031",2,351500,"1031","25017351500"
"250173501031014",1,350103,"1014","25017350103"
"250173501031012",1,350103,"1012","25017350103"
"250173501032006",4,350103,"2006","25017350103"
"250173515001019",2,351500,"1019","25017351500"
"250173502005008",1,350200,"5008","25017350200"
"250173501032015",4,350103,"2015","25017350103"
"250173501041020",4,350104,"1020","25017350104"
"250173501043000",4,350104,"3000","25017350104"
"250173512041014",2,351204,"1014","25017351204"
"250173515002017",2,351500,"2017","25017351500"
"250173512033009",2,351203,"3009","25017351203"
"250173515002022",2,351500,"2022","25017351500"
"250173509003023",6,350900,"3023","25017350900"
"250173509002013",6,350900,"2013","25017350900"
"250173509003022",6,350900,"3022","25017350900"
"250173510001002",5,351000,"1002","25017351000"
"250173504001000",6,350400,"1000","25017350400"
"250173501032011",4,350103,"2011","25017350103"
